aggregated	self	category	text
97.68%	0.00%	1	bf	<Laughter> That's the hard part right?
97.69%	0.00%	1	bf	<Laughter> It's here now
97.69%	0.00%	1	b	Um yeah
97.69%	0.00%	1	ba	{F Oh } I bet it's beautiful
97.69%	0.00%	1	b^m	{F Oh } ten months
97.69%	0.00%	1	ba	{F Oh } my gosh just a baby
97.70%	0.00%	1	bf	<Laughter> You all are cramped <laughter>
97.70%	0.00%	1	b^m	The Seville
97.70%	0.00%	1	bf	{C Or } if it gets stolen or if you lose it or  whatever it might be --
97.70%	0.00%	1	b	<laughter>  Huh
97.71%	0.00%	1	b	All  right
97.71%	0.00%	1	br	That's what -
97.71%	0.00%	1	bf	{F Oh } on a lake
97.71%	0.00%	1	ba	{F Um } fattening <laughter>
97.71%	0.00%	1	br	(( Rolly Polly ))  what?
97.72%	0.00%	1	bf	{C So }  they're actually commissioned performances
97.72%	0.00%	1	b	{F uh } {F oh }
97.72%	0.00%	1	b	Right -
97.72%	0.00%	1	ba	<Laughter> <breathing> {D Well
97.72%	0.00%	1	b	</Talking> Right <siren>
97.73%	0.00%	1	b	Yeah <<whispered>> <breathing>
97.73%	0.00%	1	bd	{D Well } I guess <laughter>
97.73%	0.00%	1	br	Is that true?
97.73%	0.00%	1	ba	that's pretty neat
97.74%	0.00%	1	ba	Oh good for you
97.74%	0.00%	1	b	{F Um } all right
97.74%	0.00%	1	b	<<Very faint>> Uh-huh  {F huh }
97.74%	0.00%	1	ba	{D well } that's pretty temperate
97.74%	0.00%	1	ba	{F Um } that sounds beautiful
97.75%	0.00%	1	bf	the heavy metal
97.75%	0.00%	1	ba	<Laughter>  That's exactly right
97.75%	0.00%	1	bf	You hope that they think it's a bug [ and
97.75%	0.00%	1	ba	{F Oh } {D well } that will be nice though
97.75%	0.00%	1	bh	Do they deserve to {F uh } remain on this earth too?
97.76%	0.00%	1	bf	{F Uh } {F um } so long as it's their possession
97.76%	0.00%	1	b^m	{F Oh } in the oil business
97.76%	0.00%	1	ba	I would imagine they are
97.76%	0.00%	1	bf	{C So } they're saying that government officials would tend to  be power seekers
97.76%	0.00%	1	b^m	Urine screen
97.77%	0.00%	1	b	{F Oh } {D well } <laughter>
97.77%	0.00%	1	bf	it was a good influence for your daughter {F uh }
97.77%	0.00%	1	ba	-- that's for sure
97.77%	0.00%	1	bf	You were good at it <laughter>
97.78%	0.00%	1	b	-- I know
97.78%	0.00%	1	bf	{C And } a lot of hassle all year round
97.78%	0.00%	1	b	{C But } {F um } no
97.78%	0.00%	1	bf	<laughter> Like fishing and  -
97.78%	0.00%	1	b	{F Oh } I know
97.79%	0.00%	1	b	Yeah {F huh }
97.79%	0.00%	1	bh	You didn't?
97.79%	0.00%	1	bf	in other words [ if you get +  if you do ] something the first time that's not real bad {D you know }
97.79%	0.00%	1	bf	Like apple pie in America
97.79%	0.00%	1	ba	{D Well } I bet you -
97.80%	0.00%	1	bf	{D So } it sounds like [ you + {F uh } you ] think [ that + that ] we'd be able to save some money by {F uh } -
97.80%	0.00%	1	ba	That's okay
97.80%	0.00%	1	bf	<laughter> what you thought {F huh }
97.80%	0.00%	1	ba	<Laughter> That sounds like a good idea
97.80%	0.00%	1	ba	{D Well } I'm glad you have that {F um } opportunity to have your mom
97.81%	0.00%	1	b	{F uh } <throat_clearing> yeah
97.81%	0.00%	1	b	{F Oh } {C so }  ((   ))  -
97.81%	0.00%	1	ba	no kidding
97.81%	0.00%	1	bh	Three?
97.82%	0.00%	1	ba	{D Well } that's a great idea
97.82%	0.00%	1	b	<Clicking>  Yeah
97.82%	0.00%	1	b	Okay <<faint>>
97.82%	0.00%	1	b	Uh-huh {F huh } <<said strangely high pitched>>
97.82%	0.00%	1	bf	{C And then } got to pick and choose the places -
97.83%	0.00%	1	bf	{C and } you worry about {F oh }  who's taking care of them
97.83%	0.00%	1	bh	{F Oh } does he really?
97.83%	0.00%	1	ba	Wow that's good
97.83%	0.00%	1	b^m	[ stump ki-  + {D yeah
97.83%	0.00%	1	ba	{D Well }  that's great that you all can work that out
97.84%	0.00%	1	br	Pardon me --
97.84%	0.00%	1	b	{F Oh } <laughter>  Yeah
97.84%	0.00%	1	ba	I imagine <child>
97.84%	0.00%	1	b^m	It wouldn't have
97.84%	0.00%	1	bf	It's not
97.85%	0.00%	1	ba	{D well }  congratulations on that
97.85%	0.00%	1	bf	From  the lack of stimulation  you mean
97.85%	0.00%	1	bf	Sure [ learn a bit +  learn a little bit ]  of discipline and how to care for it and things like that
97.85%	0.00%	1	ba	boy --
97.86%	0.00%	1	ba	{F Oh } that's awful
97.86%	0.00%	1	bf	{C so } you're talking about ones in a [ lower + lower ] end [ p- + price ] range
97.86%	0.00%	1	ba	{D well that's } good
97.86%	0.00%	1	b	{C And }  yeah
97.86%	0.00%	1	b^m	Agree <<faint>>
97.87%	0.00%	1	b	pardon me?
97.87%	0.00%	1	ba	{D Well } gee
97.87%	0.00%	1	b	(( Uh-huh ))  <<very faint>>
97.87%	0.00%	1	b	{F Um } okay
97.87%	0.00%	1	bf	Things are different in the animal kingdom {F huh }
97.88%	0.00%	1	bf	{C And then } she won't have to worry about it
97.88%	0.00%	1	ba	Sounds like it would have been pretty
97.88%	0.00%	1	bh	{C and } you can't communicate while you're doing that right?
97.88%	0.00%	1	ba	It's so {F uh } {D okay } very good
97.88%	0.00%	1	b^m	Is done
97.89%	0.00%	1	bh	{D You know } can you imagine
97.89%	0.00%	1	ba	{F Oh } wow  <laughter>
97.89%	0.00%	1	bf	that's critical because she's in need of it so often
97.89%	0.00%	1	bh	That's the big thing {F huh? }
97.90%	0.00%	1	ba	{F Oh } [ that's + that's ] fun
97.90%	0.00%	1	bk	{F Oh } [ I +
97.90%	0.00%	1	b^m	not too bad
97.90%	0.00%	1	ba	It would be pretty
97.90%	0.00%	1	ba	{D Now } that's an idea
97.91%	0.00%	1	b	Uh-huh </breathing>
97.91%	0.00%	1	b^m	{F Uh } cathedral ceilings
97.91%	0.00%	1	bf	-- so they have a toe hold
97.91%	0.00%	1	bf	{C So } you did buy a pattern and then  started from there
97.91%	0.00%	1	b^m	A soprano
97.92%	0.00%	1	ba	<Laughter>  Once you think about it {F huh }
97.92%	0.00%	1	bf	He had a direct connection somewhere {F uh } <laughter>
97.92%	0.00%	1	ba	{F Oh } I heard about that
97.92%	0.00%	1	ba	that's neat <laughter>
97.92%	0.00%	1	bf	{F Oh } {C  so } she's a little one
97.93%	0.00%	1	bk	Oh <<faint>>
97.93%	0.00%	1	br	{F Um
97.93%	0.00%	1	bf	it's whether the parent wants to take the risk
97.93%	0.00%	1	b	{F Oh } yes <laughter>
97.94%	0.00%	1	bk	{F Oh } you have children <laughter>
97.94%	0.00%	1	bf	[ [ i- + i- ] + it's ] the artist not the merit
97.94%	0.00%	1	bh	{F Oh } you're not
97.94%	0.00%	1	br	Both?
97.94%	0.00%	1	bd	yeah
97.95%	0.00%	1	b	Uh-huh <dishes>
97.95%	0.00%	1	ba	-- very good point
97.95%	0.00%	1	bf	{C So } you have no children at all
97.95%	0.00%	1	b	that happens
97.95%	0.00%	1	b	Your dress
97.96%	0.00%	1	b	Yeah <<pause>> <breathing>
97.96%	0.00%	1	bh	You think
97.96%	0.00%	1	bf	-- {C but } it does sound like it's definitely growing
97.96%	0.00%	1	bf	It sounds like you'd have lots of shading -
97.96%	0.00%	1	bf	{F Um } {C so } [ you don't + you don't ] feel [ that + that ] we were {F um } exploiting in the sense of we were benefiting
97.97%	0.00%	1	b	<Breathing> No
97.97%	0.00%	1	ba	My goodness <laughter>
97.97%	0.00%	1	ba	It's incredible
97.97%	0.00%	1	ba	Unbelievable <sniffing>
97.98%	0.00%	1	bf	{C So } he wouldn't have gone to  something like where we're at [ they'd + ] in Austin Texas University of Texas
97.98%	0.00%	1	bf	you would
97.98%	0.00%	1	bf	those machine guns  and all that
97.98%	0.00%	1	br	Heavenly?
97.98%	0.00%	1	ba	{D Gee } that's not a bad idea
97.99%	0.00%	1	bf	{C But } you could put them in  one of these cribs and then roll the crib out I guess
97.99%	0.00%	1	ba	<Laughter>  {F Oh } shoot
97.99%	0.00%	1	ba	{D Well } now
97.99%	0.00%	1	b^m	Handicraft type things
97.99%	0.00%	1	bf	four hundred and something a year
98.00%	0.00%	1	br	Hot?
98.00%	0.00%	1	bf	way up north here {F huh } -
98.00%	0.00%	1	bf	{C so } you're talking about positive side effects then
98.00%	0.00%	1	b^m	Salvia
98.00%	0.00%	1	ba	[ That's pretty + to me that's pretty ] rare
98.01%	0.00%	1	bk	Minnesota
98.01%	0.00%	1	bh	{F Oh } are they?
98.01%	0.00%	1	b^m	Yeah  <<faint>>
98.01%	0.00%	1	b	{F Huh } okay
98.02%	0.00%	1	b	Yeah  ((   ))
98.02%	0.00%	1	b	[ Enj- + enjoying ] it <laughter> -
98.02%	0.00%	1	ba	God it's amazing  <<very faintly>>
98.02%	0.00%	1	ba	<Laughter> Exactly
98.02%	0.00%	1	bh	Isn't that nice
98.03%	0.00%	1	ba	<Laughter> That's awful
98.03%	0.00%	1	bf	they figure what a heyday  {F huh } <laughter>
98.03%	0.00%	1	b	Yes <noise>
98.03%	0.00%	1	b	Right <<very faint>>
98.03%	0.00%	1	ba	<Laughter>  {D Well } that did a lot of good
98.04%	0.00%	1	ba	you are  right
98.04%	0.00%	1	ba	{F Oh }  (( booey ))
98.04%	0.00%	1	b	<Talking> Right
98.04%	0.00%	1	bf	{C So } what they are  asking you to tell them is all the prescription drugs you are taking which are controlled substances
98.04%	0.00%	1	b^m	Three months
98.05%	0.00%	1	b	Uh-huh uh-huh
98.05%	0.00%	1	b^m	Public relations
98.05%	0.00%	1	b	<Door> Uh-huh
98.05%	0.00%	1	b^m	The Chinese type
98.06%	0.00%	1	ba	that's exactly right
98.06%	0.00%	1	ba	I'm sure <laughter>
98.06%	0.00%	1	bh	{F Oh } you're kidding <laughter>
98.06%	0.00%	1	bk	{F Oh } {F oh } {F oh } okay
98.06%	0.00%	1	ba	It's great
98.07%	0.00%	1	ba	{F Oh } that sounds really neat
98.07%	0.00%	1	ba	{D Well } [ that + that's ] an excellent -
98.07%	0.00%	1	bf	{F Oh } {C so } [ [ y- + y- ] + you ] get the whole smorgasbord
98.07%	0.00%	1	b	<Beep>  Okay {F um }
98.07%	0.00%	1	bh	Five?
98.08%	0.00%	1	b	{F Oh } yeah  {F Uh }
98.08%	0.00%	1	ba	that's nice out there
98.08%	0.00%	1	bk	{F Oh } [ that's + {D yeah } that's ] okay
98.08%	0.00%	1	ba	{C So }  that [ that's + ] always sounds good to me {F um }
98.08%	0.00%	1	b	<Laughter> {F Huh }
98.09%	0.00%	1	ba	That's what it takes
98.09%	0.00%	1	ba	{C And } {D well } that's great
98.09%	0.00%	1	ba	That's -
98.09%	0.00%	1	ba	Definitely --
98.10%	0.00%	1	bf	Donna {F um } you said you have three children
98.10%	0.00%	1	bh	Really?  <Laughter>
98.10%	0.00%	1	ba	Jesus
98.10%	0.00%	1	ba	<Laughter> How cute
98.10%	0.00%	1	b	<Sniffing>  Yeah
98.11%	0.00%	1	bf	{F Uh } it didn't hurt them any
98.11%	0.00%	1	bf	Saving them for you {F uh }
98.11%	0.00%	1	b^m	Raleigh
98.11%	0.00%	1	b^m	{C and } the skunk -
98.11%	0.00%	1	b^m	To do
98.12%	0.00%	1	ba	it  sounds pretty good <laughter>
98.12%	0.00%	1	ba	Wow  {F Huh }
98.12%	0.00%	1	ba	No way
98.12%	0.00%	1	b^m	Pork barrel politics
98.12%	0.00%	1	ba	<Laughter>  That's good
98.13%	0.00%	1	ba	{F Oh } {F oh } goody
98.13%	0.00%	1	b^m	Three weeks
98.13%	0.00%	1	br	B L Y?
98.13%	0.00%	1	b^m	Mustang G T -s?
98.14%	0.00%	1	br	Have I?
98.14%	0.00%	1	ba	<Laughter> {F Oh } my gos- -
98.14%	0.00%	1	b^m	Yet
98.14%	0.00%	1	bf	{F Oh } of everything
98.14%	0.00%	1	bf	{F Um }  {C So } [ you're +  you're ]  kind of thinking -
98.15%	0.00%	1	bh	{F Oh } is that ri- -
98.15%	0.00%	1	ba	[ It + it ] certainly is
98.15%	0.00%	1	br	Two hundred fifty?
98.15%	0.00%	1	b^m	Too hot
98.15%	0.00%	1	b	{C So } really
98.16%	0.00%	1	b	Uh-huh <<Very faint>>
98.16%	0.00%	1	b	{C And }  {F uh } yep
98.16%	0.00%	1	bf	{C and then } you go for days at a time
98.16%	0.00%	1	b	Yeah  </TV> </breathing> </static>
98.16%	0.00%	1	ba	Imagine that
98.17%	0.00%	1	br	[ Who's +  who's ] not very well educated?
98.17%	0.00%	1	ba	I understand what you say
98.17%	0.00%	1	ba	{D Well } that would be a help
98.17%	0.00%	1	ba	{F Oh } {D well } that is  interesting
98.18%	0.00%	1	ba	I  understand that
98.18%	0.00%	1	b	{C But }  {F um } yeah
98.18%	0.00%	1	ba	{F Oh } {D well } that's an idea
98.18%	0.00%	1	ba	{F Oh } ho-ho
98.18%	0.00%	1	b	{C So }   Yeah
98.19%	0.00%	1	b^m	Four weeks
98.19%	0.00%	1	bh	[ Isn't that
98.19%	0.00%	1	ba	{F Oh } how  neat
98.19%	0.00%	1	b	-- okay
98.19%	0.00%	1	ba	I would think it
98.20%	0.00%	1	ba	(( A-cha! ))
98.20%	0.00%	1	ba	{D Well } I wish that's all we had
98.20%	0.00%	1	bf	{D So } you do that
98.20%	0.00%	1	b	<Laughter> Right <laughter>
98.20%	0.00%	1	ba	{F Oh }  my
98.21%	0.00%	1	ba	Not too awful bad
98.21%	0.00%	1	ba	The could be nice <laughter>
98.21%	0.00%	1	br	Where you can lock up
98.21%	0.00%	1	ba	{F Oh } you lucky thing
98.22%	0.00%	1	b^m	Not really <laughter>
98.22%	0.00%	1	b	Food
98.22%	0.00%	1	b^m	Very much
98.22%	0.00%	1	ba	gosh <laughter> anyway -
98.22%	0.00%	1	ba	{D Now } that's interesting
98.23%	0.00%	1	b	{D You know } right
98.23%	0.00%	1	b	Uh-huh <laughter> <throat_clearing>
98.23%	0.00%	1	bf	So they are pretty limited
98.23%	0.00%	1	ba	{F Oh } is it okay
98.23%	0.00%	1	b	<Talking> <<people in background>> Yes
98.24%	0.00%	1	bf	Fifteen years
98.24%	0.00%	1	ba	it really  is
98.24%	0.00%	1	bk	{F Ooh }
98.24%	0.00%	1	ba	{D well } {D see }  that's another plus
98.24%	0.00%	1	b^m	The china more
98.25%	0.00%	1	bf	You could tell
98.25%	0.00%	1	b	{Very faint} Yeah
98.25%	0.00%	1	bh	Brisket?
98.25%	0.00%	1	b	<Laughter>  Really
98.26%	0.00%	1	bh	Yeah
98.26%	0.00%	1	ba	It sounds nice  {F Uh }
98.26%	0.00%	1	b^m	<laughter> young mothers or -
98.26%	0.00%	1	b	<<Resumes talking to Speaker B>> Yeah
98.26%	0.00%	1	b	{F uh } okay
98.27%	0.00%	1	bk	{F Oh }  ((   ))
98.27%	0.00%	1	ba	{F Oh } that sounds so pretty
98.27%	0.00%	1	ba	golly
98.27%	0.00%	1	b	((   ))  Oh
98.27%	0.00%	1	ba	That will be fun
98.28%	0.00%	1	b	<Noise> <<child's record>> Yeah
98.28%	0.00%	1	b	Maybe
98.28%	0.00%	1	b	Yeah   <Laughter>
98.28%	0.00%	1	bd	Okay  <laughter>
98.28%	0.00%	1	b	{D Huh
98.29%	0.00%	1	ba	{F Oh } {D well } <laughter>
98.29%	0.00%	1	bk	[ I + I ] see
98.29%	0.00%	1	bf	{C and } [ [ that was + that was   simi- + that was ] [ some + some ] program where people gave their time
98.29%	0.00%	1	ba	No joke <laughter>
98.30%	0.00%	1	ba	{C So } he's out for good
98.30%	0.00%	1	bf	[ Had no + had no ] teeth
98.30%	0.00%	1	ba	{C but } that's cool
98.30%	0.00%	1	ba	<Laughter> That's pretty good
98.30%	0.00%	1	b^m	S I N
98.31%	0.00%	1	b^m	{C But } {F um } yeah
98.31%	0.00%	1	bk	{F Oh } quality okay
98.31%	0.00%	1	bh	{F Huh }  rough type {F huh } <laughter>?
98.31%	0.00%	1	br	pardon?
98.31%	0.00%	1	ba	{D Now } there's an idea
98.32%	0.00%	1	bf	{C So } they all know it
98.32%	0.00%	1	b	<Rustling>  Yeah
98.32%	0.00%	1	bh	Was she?
98.32%	0.00%	1	bf	The rat race to exercise <laughter>
98.32%	0.00%	1	b^m	Okay {F uh }
98.33%	0.00%	1	b^m	Don't remember her  breaking {F uh } -
98.33%	0.00%	1	bf	Joe Pros?
98.33%	0.00%	1	ba	{F Oh } that's a neat system
98.33%	0.00%	1	bf	That's where I need to go <laughter>
98.34%	0.00%	1	bf	[ [ That +  {F uh } the ] +  what  they call the ] latchkey children
98.34%	0.00%	1	ba	that's a good point
98.34%	0.00%	1	bf	It sounds like you have a baby there
98.34%	0.00%	1	ba	Was it {F oh } good
98.34%	0.00%	1	bf	it might kill you to go up and <laughter>
98.35%	0.00%	1	bf	You mean {D like } for health insurance?
98.35%	0.00%	1	ba	{D Well } that is neat <children>
98.35%	0.00%	1	ba	I'll bet you really are
98.35%	0.00%	1	b	{F Um } I see
98.35%	0.00%	1	b^m	U N L V
98.36%	0.00%	1	b	yeah <breathing>
98.36%	0.00%	1	b	Right </breathing> </talking>
98.36%	0.00%	1	b	<Talking> <<Faint>>  Yes
98.36%	0.00%	1	b^m	H O I
98.37%	0.00%	1	b	{D So
98.37%	0.00%	1	ba	For heaven's sake
98.37%	0.00%	1	ba	{D Well } that's excellent
98.37%	0.00%	1	ba	{F Oh } shoot <lipsmack>
98.37%	0.00%	1	b	{D So } anyway
98.38%	0.00%	1	b	<Laughter>  Uh-huh <laughter>
98.38%	0.00%	1	ba	{F Oh } {D well } [ that + that ] sounds good
98.38%	0.00%	1	bf	It was fun
98.38%	0.00%	1	br	What hockey?
98.38%	0.00%	1	bf	Deduct yeah
98.39%	0.00%	1	bf	Against forty other people being -
98.39%	0.00%	1	ba	{D Well } that could be
98.39%	0.00%	1	ba	{F Oh } dear <breathing>
98.39%	0.00%	1	ba	I bet <dishes>
98.39%	0.00%	1	bh	That right
98.40%	0.00%	1	ba	{F Oh } isn't that
98.40%	0.00%	1	b	uh-huh <baby_crying>
98.40%	0.00%	1	bf	{C So } you end up about paying about twelve dollars for a pack and two dollars of that is taxes
98.40%	0.00%	1	b	<Whispering>  Uh-huh
98.41%	0.00%	1	b	<Laughter>  {F Oh }
98.41%	0.00%	1	ba	{F Oh } durn <laughter>
98.41%	0.00%	1	ba	Certainly  that's a good idea
98.41%	0.00%	1	ba	<laughter> my gosh
98.41%	0.00%	1	ba	of course <laughter> {F um }
98.42%	0.00%	1	ba	That is not bad
98.42%	0.00%	1	b	{F Um } uh-huh <<faint>>
98.42%	0.00%	1	ba	<Laughter> Whoops <laughter>
98.42%	0.00%	1	bf	<Laughter> {D Well } that was a real farm
98.42%	0.00%	1	ba	that's an excellent idea
98.43%	0.00%	1	ba	I know what -
98.43%	0.00%	1	b^m	Skidding control
98.43%	0.00%	1	bf	It sounds like you enjoy working outside as well
98.43%	0.00%	1	bf	So it's sociology
98.43%	0.00%	1	ba	sure it is
98.44%	0.00%	1	ba	It is I imagine
98.44%	0.00%	1	ba	{F Uh } ha
98.44%	0.00%	1	ba	{D Wow } that's a lot for a townhouse
98.44%	0.00%	1	bf	Nod your head and smile at them
98.45%	0.00%	1	ba	{F Oh } they do too
98.45%	0.00%	1	b	<Whispering> Yeah
98.45%	0.00%	1	bh	you know what are we doing for them
98.45%	0.00%	1	ba	I know --
98.45%	0.00%	1	b^m	Next weekend?
98.46%	0.00%	1	ba	Oh I bet it was
98.46%	0.00%	1	bh	{F Oh } it is
98.46%	0.00%	1	bf	{C So } {F uh } as you indicated you don't have too much input into the area
98.46%	0.00%	1	bf	[ It + it ] has to be kind of a discreet transaction <laughter>
98.46%	0.00%	1	b^m	Georgia
98.47%	0.00%	1	ba	that's fun
98.47%	0.00%	1	ba	{F Huh } that's really  funny <laughter>
98.47%	0.00%	1	bf	{C So } [ you're + you're ] with the home office  now <laughter>
98.47%	0.00%	1	ba	{F Oh } that's funny
98.47%	0.00%	1	b	Okay --
98.48%	0.00%	1	bf	Changing people's expectations
98.48%	0.00%	1	b	{F Um } <lipsmack>
98.48%	0.00%	1	bk	<<Very faint>>  All right
98.48%	0.00%	1	ba	{D well } good for you
98.49%	0.00%	1	ba	{F Oh } {D actually } that's true
98.49%	0.00%	1	b	Huh <static>
98.49%	0.00%	1	ba	<Laughter>  {D Well } those things happen though
98.49%	0.00%	1	bf	{D Well } that's still a pretty [ bi- + ] good size band
98.49%	0.00%	1	ba	{F Oh } that'll be fun <laughter>
98.50%	0.00%	1	bf	And and just very happy to get that
98.50%	0.00%	1	bf	Catching tree bass
98.50%	0.00%	1	b	{F Oh } {D see } that's -
98.50%	0.00%	1	b^m	carry on with the abuse
98.50%	0.00%	1	ba	{D Well } what a wonderful thing
98.51%	0.00%	1	bf	Kind of jack of all trades master of none
98.51%	0.00%	1	b	{C But } yeah --
98.51%	0.00%	1	ba	{D Well } that sounds fun
98.51%	0.00%	1	ba	{D Well } that's a good experience I think
98.51%	0.00%	1	b^m	MISSION IMPOSSIBLE
98.52%	0.00%	1	b	<Chiming> Yeah
98.52%	0.00%	1	ba	<Lipsmack> My goodness
98.52%	0.00%	1	bf	Didn't expect that would happen
98.52%	0.00%	1	bf	Have [ a + ] [ relative struct- + ] [ a + ] structured
98.53%	0.00%	1	ba	That's cute
98.53%	0.00%	1	ba	{F Oh } that sounds nice
98.53%	0.00%	1	b	okay   ((   ))
98.53%	0.00%	1	ba	Sure is
98.53%	0.00%	1	bf	Come to my menagerie
98.54%	0.00%	1	ba	that's funny
98.54%	0.00%	1	b^m	You haven't been to too many places
98.54%	0.00%	1	b	<Throat_clearing>  Really
98.54%	0.00%	1	ba	In the first grade <laughter>
98.54%	0.00%	1	bf	{E I mean } {D like } [ if + if
98.55%	0.00%	1	ba	{D So } it's not so bad
98.55%	0.00%	1	ba	that was good
98.55%	0.00%	1	ba	<Breathing> Wow
98.55%	0.00%	1	ba	<Laughter> I know the feeling
98.55%	0.00%	1	br	What do you think
98.56%	0.00%	1	ba	{D Well } that's an excellent idea
98.56%	0.00%	1	bf	[ Just + you just ] pay it {F huh } <laughter>
98.56%	0.00%	1	ba	Man -
98.56%	0.00%	1	ba	It sounds  wonderful
98.57%	0.00%	1	ba	{F Oh } god
98.57%	0.00%	1	b	<clicking> Uh-huh
98.57%	0.00%	1	bk	[ O- + okay ]
98.57%	0.00%	1	bf	[ That's + that's ] large if your children aren't at home any more
98.57%	0.00%	1	ba	Hail and thunder and  -
98.58%	0.00%	1	bf	{F Ooh } for those who are really cooperating
98.58%	0.00%	1	ba	All right great
98.58%	0.00%	1	bh	{C And } what is he going to do prison to the other people <laughter>?
98.58%	0.00%	1	ba	that's not bad
98.58%	0.00%	1	ba	that's [ neat + neat ] <breathing>
98.59%	0.00%	1	b	[ One
98.59%	0.00%	1	ba	it's real pretty
98.59%	0.00%	1	br	More lax?
98.59%	0.00%	1	bf	{C and } you're coming out of it all right
98.59%	0.00%	1	bf	just your qualifications
98.60%	0.00%	1	b^m	In science
98.60%	0.00%	1	ba	<Laughter>  You can't do that
98.60%	0.00%	1	br	-- Pardon?
98.60%	0.00%	1	b	I see <cough>
98.61%	0.00%	1	ba	You're absolutely right
98.61%	0.00%	1	bk	<Child> {F Oh } okay
98.61%	0.00%	1	ba	Oh good
98.61%	0.00%	1	ba	That is excellent
98.61%	0.00%	1	bf	{C So } you look at it more as a task
98.62%	0.00%	1	ba	That's really true
98.62%	0.00%	1	ba	<Laughter>  I understand
98.62%	0.00%	1	b	--  Uh-huh
98.62%	0.00%	1	b	{F Oh } did you
98.62%	0.00%	1	ba	{F Oh } those are fun
98.63%	0.00%	1	b	the twine
98.63%	0.00%	1	ba	{D Well } [ that's + ] [ that's + ] pretty interesting
98.63%	0.00%	1	b	{F uh } I see
98.63%	0.00%	1	ba	{F Oh } sounds pretty
98.63%	0.00%	1	ba	{F Oh }  great
98.64%	0.00%	1	ba	{F Oh } that's really weird
98.64%	0.00%	1	bf	talk too long
98.64%	0.00%	1	ba	Ugh <laughter>
98.64%	0.00%	1	ba	That is pretty big though
98.65%	0.00%	1	b^m	In the bot- <laughter> (( )) -
98.65%	0.00%	1	ba	They are beautiful homes
98.65%	0.00%	1	b^m	[ Not + not ] going to help
98.65%	0.00%	1	b^m	Five minutes {F oh } okay
98.65%	0.00%	1	br	Hm?
98.66%	0.00%	1	ba	That's neat <inhaling> <sniffing>
98.66%	0.00%	1	ba	Good point <laughter>  {F oh }
98.66%	0.00%	1	bh	{F Oh } yeah
98.66%	0.00%	1	br	Southwest where?
98.66%	0.00%	1	bf	{D So } sounds like you like to read
98.67%	0.00%	1	ba	{F Ooh } that sounds good
98.67%	0.00%	1	bf	They'll lose their ethnicity as they say
98.67%	0.00%	1	b	<<Faint>> Yeah
98.67%	0.00%	1	bf	To sell the refrigerator?
98.67%	0.00%	1	bh	{F Oh } really  ?
98.68%	0.00%	1	bf	{C So }  [ you + what you're ]  saying is this if there is the second offense then you execute them
98.68%	0.00%	1	ba	It's pretty cool
98.68%	0.00%	1	b^m	{F Oh } Corpus
98.68%	0.00%	1	ba	{F Oh } gees
98.69%	0.00%	1	b	Righto <laughter>
98.69%	0.00%	1	ba	<<Very faint>> Gee
98.69%	0.00%	1	bf	All worked out all right {F huh }
98.69%	0.00%	1	bk	{F Oh } okay <lipsmack>
98.69%	0.00%	1	ba	{F Um } now that's awful
98.70%	0.00%	1	bh	Oh yeah?
98.70%	0.00%	1	bf	For business -
98.70%	0.00%	1	ba	that's too bad <laughter>
98.70%	0.00%	1	bf	You had to come home and  clean before you could  -
98.70%	0.00%	1	ba	<Laughter> That's true
98.71%	0.00%	1	b	Each individual child
98.71%	0.00%	1	bh	{F Oh } you will?
98.71%	0.00%	1	bf	Instead of call waiting or call anything else
98.71%	0.00%	1	bf	What is what
98.71%	0.00%	1	b	Infant
98.72%	0.00%	1	b^m	About fifteen miles
98.72%	0.00%	1	ba	It will
98.72%	0.00%	1	b	Probably
98.72%	0.00%	1	ba	That works
98.73%	0.00%	1	bf	{D Sure } that makes a big crowd
98.73%	0.00%	1	b^m	Fernando
98.73%	0.00%	1	b^m	Any day now <laughter>
98.73%	0.00%	1	ba	that's good ))
98.73%	0.00%	1	ba	that's fantastic
98.74%	0.00%	1	ba	{E I mean } boy
98.74%	0.00%	1	ba	{F Oh } okay great
98.74%	0.00%	1	ba	That's true   <<Rattling paper noise>>
98.74%	0.00%	1	b^m	Work ethics {F oh } <laughter>
98.74%	0.00%	1	bh	It did?
98.75%	0.00%	1	bf	It's not a big {D you know } -
98.75%	0.00%	1	bf	{F Oh } instead of hopping and jumping you just step
98.75%	0.00%	1	ba	[ Exact- + exactly ]
98.75%	0.00%	1	b^m	It's not the same
98.75%	0.00%	1	b	Oh <<very faint>>
98.76%	0.00%	1	ba	That's  (( good ))
98.76%	0.00%	1	ba	{D Well } [ that's + that's ] good <laughter>
98.76%	0.00%	1	b	I see <bird_squawk>
98.76%	0.00%	1	ba	{F Oh } I think so
98.77%	0.00%	1	b^m	{F Oh } you're Ann
98.77%	0.00%	1	ba	{C But } [ that + that ] sounds good
98.77%	0.00%	1	ba	{D well } I think it sounds good
98.77%	0.00%	1	b	{C And } right
98.77%	0.00%	1	bf	Everybody got excited
98.78%	0.00%	1	bf	{C and } [ his office hours could + {E I mean }  he could have {D like } a nine to eleven in the morning office  hours ] and have forty-two people waiting to talk to him
98.78%	0.00%	1	b	and cheap
98.78%	0.00%	1	bh	{F oh } do they
98.78%	0.00%	1	b	Does he
98.78%	0.00%	1	bf	Never
98.79%	0.00%	1	ba	<Laughter> Hey that's pretty good
98.79%	0.00%	1	b^m	Not originally
